iter	Passed	Remaining
0	0	83
1	1	75
2	2	76
3	2	69
4	3	67
5	4	65
6	5	66
7	5	64
8	6	64
9	7	67
10	8	67
11	9	68
12	10	68
13	11	68
14	11	67
15	12	66
16	13	65
17	14	63
18	14	63
19	15	63
20	16	62
21	17	61
22	18	60
23	19	60
24	19	59
25	20	59
26	21	58
27	22	58
28	23	58
29	24	57
30	25	57
31	26	56
32	27	55
33	27	53
34	28	52
35	29	51
36	29	50
37	30	49
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	34	44
44	35	43
45	36	42
46	37	42
47	38	41
48	39	40
49	39	39
50	40	38
51	41	37
52	41	37
53	42	36
54	43	35
55	43	34
56	44	33
57	45	32
58	45	31
59	46	31
60	47	30
61	48	29
62	48	28
63	49	27
64	50	26
65	50	26
66	51	25
67	52	24
68	53	24
69	54	23
70	54	22
71	55	21
72	56	20
73	56	20
74	57	19
75	58	18
76	59	17
77	59	16
78	60	16
79	61	15
80	61	14
81	62	13
82	63	12
83	63	12
84	64	11
85	65	10
86	66	9
87	66	9
88	67	8
89	68	7
90	69	6
91	70	6
92	71	5
93	71	4
94	72	3
95	73	3
96	73	2
97	74	1
98	75	0
99	76	0
